policy,run_id,scenario,pairs,avg_total_cost,avg_net_cost,avg_net_load,bess_target_rate,ev1_target_rate,ev2_target_rate,run_tag,preset,household_count,scenario_count,short_window_size,long_window_size,short_weight,conf_interval_frct,persistence_mode,persistence_range,persistence_constant_alpha,trend_weight,trend_window,trend_range,source_average_beta
mpc_hybrid_ma_sw7_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,33,relaxed_high_start,48,3.752130243494483,3.002982326827816,16.64362344740705,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,33,relaxed_low_start,48,12.117593211045774,11.368445294379107,82.40815292228037,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,7,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,33,stressed_high_start,48,5.073879889128791,4.324731972462125,26.38493165121621,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,33,stressed_low_start,48,13.517264428847184,12.76811651218052,96.28361078792432,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,33,stressed_mid_start,48,9.376734072129016,8.62758615546235,59.85510112591985,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,34,default_scenario,48,7.914333433641911,7.165185516975243,48.105399494963535,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,9,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,34,relaxed_high_start,48,3.7637801254634193,3.0146322087967525,16.60752231992175,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,34,relaxed_low_start,48,12.130989818814461,11.381841902147796,82.46514831087246,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,9,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,34,stressed_high_start,48,5.084494465022721,4.335346548356054,26.356769799327836,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,34,stressed_low_start,48,13.530368904410423,12.781220987743756,96.38266903301725,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,34,stressed_mid_start,48,9.389593842285782,8.640445925619114,59.845576329384166,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,35,default_scenario,48,7.914749329747973,7.165601413081306,48.10538201409458,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,9,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,35,relaxed_high_start,48,3.7660654057895493,3.0169174891228825,16.62860993880271,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,35,relaxed_low_start,48,12.130567030367631,11.381419113700966,82.43252604550598,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,9,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,35,stressed_high_start,48,5.0885136045129045,4.339365687846238,26.376054572156633,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,35,stressed_low_start,48,13.530393703170624,12.781245786503957,96.32498995160667,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,35,stressed_mid_start,48,9.39199374525056,8.642845828583892,59.85079729045375,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,36,default_scenario,48,7.909337740145129,7.160189823478462,48.10272794412116,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,9,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,36,relaxed_high_start,48,3.7620148521902252,3.0128669355235593,16.64086730791719,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,36,relaxed_low_start,48,12.127551447322075,11.37840353065541,82.40819750523924,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,9,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,36,stressed_high_start,48,5.083556120965863,4.334408204299196,26.382105334301105,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,36,stressed_low_start,48,13.528084473054301,12.778936556387634,96.28202745802638,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw9_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,36,stressed_mid_start,48,9.387328994112135,8.638181077445468,59.85267372780311,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,9,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
