window_size,run_id,scenario,player_id,total_cost_ma,total_cost_waterfall,total_cost_oracle,delta_total_vs_waterfall,delta_total_vs_oracle
8,6,late_relaxed,13,9.481562743049109,8.6821978782084,6.5876160999762385,0.7993648648407081,2.89394664307287
8,6,late_relaxed,14,8.386429414502501,10.36754129162175,6.155699646267882,-1.9811118771192486,2.230729768234619
8,6,late_relaxed,15,9.428040644355574,8.658532284087551,7.809546186268848,0.7695083602680235,1.6184944580867269
8,6,late_relaxed,16,9.162136882994915,8.294316487430867,6.054927528334213,0.8678203955640473,3.107209354660702
8,6,late_relaxed,17,8.514118133973637,7.971650896924278,5.753861612573618,0.5424672370493591,2.760256521400019
8,6,late_relaxed,18,7.451374364529329,6.916361660052324,5.173747384846105,0.5350127044770048,2.277626979683224
8,6,late_relaxed,19,8.295071608476924,7.501221416564465,5.759870361468206,0.7938501919124592,2.535201247008718
8,6,late_relaxed,20,8.483015047859034,9.45859590519859,6.294577471875122,-0.9755808573395566,2.1884375759839116
8,6,low_start_wide,1,14.262306680698488,12.529038963545341,10.578695310385232,1.7332677171531472,3.6836113703132565
8,6,low_start_wide,2,15.349627062913939,13.539138565322153,11.250477023232618,1.8104884975917859,4.099150039681321
8,6,low_start_wide,3,13.991473770067381,12.903211657889166,10.817556519722848,1.0882621121782154,3.173917250344534
8,6,low_start_wide,4,16.362681563739596,13.805533231829465,12.064044352569574,2.557148331910131,4.298637211170021
8,6,low_start_wide,5,19.615589840004464,18.367505510665595,15.636519629981988,1.2480843293388695,3.979070210022476
8,6,low_start_wide,6,13.945005526701731,12.84593674062291,10.695302135506967,1.0990687860788206,3.249703391194764
8,6,low_start_wide,7,19.417276784638606,17.73540264492728,16.09398508320959,1.6818741397113257,3.3232917014290173
8,6,low_start_wide,8,16.46863799637383,15.580246926203149,11.854520953261606,0.8883910701706803,4.614117043112223
8,6,low_start_wide,9,23.00695660654136,22.08824040855783,14.769160148154938,0.9187161979835317,8.237796458386423
8,6,low_start_wide,10,13.77057343432242,12.312104480882066,10.204591599569104,1.458468953440354,3.565981834753316
8,6,low_start_wide,11,18.338429661837246,17.120545323328262,14.750922719451607,1.2178843385089841,3.587506942385639
8,6,low_start_wide,12,20.85965880054437,22.026976674576993,12.998336024327692,-1.1673178740326229,7.861322776216678
8,6,low_start_wide,13,16.053005661726047,14.070152853297452,11.83913248828934,1.9828528084285946,4.213873173436706
8,6,low_start_wide,14,17.66583052801164,19.585183419103377,11.285281583707462,-1.9193528910917372,6.380548944304177
8,6,low_start_wide,15,14.382684086484378,12.816638429757356,11.793378031280152,1.566045656727022,2.5893060552042257
8,6,low_start_wide,16,15.679859071514242,13.807756831898363,11.137594887189854,1.872102239615879,4.542264184324388
8,6,low_start_wide,17,15.239651631128948,14.144800293808506,10.633815883316055,1.094851337320442,4.605835747812893
8,6,low_start_wide,18,12.623367961801508,11.241676000543853,9.446369645225584,1.3816919612576548,3.176998316575924
8,6,low_start_wide,19,15.386158994916844,12.793125043254248,10.514740873045984,2.593033951662596,4.87141812187086
8,6,low_start_wide,20,15.714664847630095,17.638252741834624,10.52359703687445,-1.9235878942045286,5.191067810755644
8,6,mid_start_normal,1,9.1088687468331,8.087059982363057,6.648371414405662,1.0218087644700429,2.4604973324274377
8,6,mid_start_normal,2,9.659149050129395,9.097323909913568,7.515265294359748,0.5618251402158272,2.1438837557696466
8,6,mid_start_normal,3,8.666018918191133,8.04931896799907,6.580047617118868,0.6166999501920625,2.0859713010722647
8,6,mid_start_normal,4,10.289491349299917,8.64973406548609,7.334930458930362,1.639757283813827,2.954560890369555
8,6,mid_start_normal,5,13.635416501820739,12.796116607099314,10.92407931995407,0.8392998947214245,2.7113371818666696
8,6,mid_start_normal,6,8.826936088671465,8.190015433567401,6.5058593240785605,0.6369206551040634,2.3210767645929042
8,6,mid_start_normal,7,13.954279214241298,12.76716813960869,11.654429912067966,1.1871110746326075,2.2998493021733317
8,6,mid_start_normal,8,9.524694980994788,9.330032284573047,6.643671038288753,0.19466269642174083,2.881023942706035
8,6,mid_start_normal,9,15.432245788539756,15.284265691103391,10.659249936211616,0.1479800974363652,4.77299585232814
8,6,mid_start_normal,10,8.970486188296453,8.040107997548523,6.406817993703746,0.9303781907479305,2.563668194592707
