params,score
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 300}",0.70003
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 300}",0.61729
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300}",0.63814
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300}",0.65787
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 300}",0.66357
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 300}",0.69028
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 300}",0.64353
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 300}",0.66384
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300}",0.66311
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 300}",0.67635
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 300}",0.72019
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 300}",0.65312
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 300}",0.66982
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 300}",0.67623
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 300}",0.66497
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 300}",0.711
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400}",0.58862
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400}",0.61102
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400}",0.64252
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 400}",0.6553
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 400}",0.70611
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 400}",0.61608
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 400}",0.64364
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 400}",0.65954
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 400}",0.66538
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 400}",0.69016
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 400}",0.64716
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 400}",0.66538
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 400}",0.66513
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 400}",0.67709
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 400}",0.72024
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 400}",0.65665
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 400}",0.67055
