feature,gain,total_gain,split_count,target,fold_id
status_lag_8_is_pad,0.0,0.0,0.0,ev1_status,E
start1_earliest,0.0,0.0,0.0,ev1_status,E
end1_latest,0.0,0.0,0.0,ev1_status,E
start2_earliest,0.0,0.0,0.0,ev1_status,E
end2_latest,0.0,0.0,0.0,ev1_status,E
max_commute_steps_1,0.0,0.0,0.0,ev1_status,E
max_commute_steps_2,0.0,0.0,0.0,ev1_status,E
steps_to_start1_earliest,0.0,0.0,0.0,ev1_status,E
steps_to_end1_latest,0.0,0.0,0.0,ev1_status,E
steps_to_start2_earliest,0.0,0.0,0.0,ev1_status,E
steps_to_end2_latest,0.0,0.0,0.0,ev1_status,E
start1,0.6078680753707886,311.22845458984375,512.0,ev1_status,E
end1,0.8102325201034546,358.1227722167969,442.0,ev1_status,E
start2,14.604066848754883,2833.18896484375,194.0,ev1_status,E
end2,0.0,0.0,0.0,ev1_status,E
start1_observed,0.0,0.0,0.0,ev1_status,E
end1_observed,0.0,0.0,0.0,ev1_status,E
start2_observed,0.0,0.0,0.0,ev1_status,E
end2_observed,0.0,0.0,0.0,ev1_status,E
observed_window_length_1,0.683219850063324,74.47096252441406,109.0,ev1_status,E
observed_window_length_2,0.0,0.0,0.0,ev1_status,E
window_length_slack_1,1.2998266220092773,131.28248596191406,101.0,ev1_status,E
window_length_slack_2,0.0,0.0,0.0,ev1_status,E
