target,learning_rate,n_estimators,max_depth,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
ev1_status,0.05,100,5,0.08906375765800476,0.08727505803108215,0.08971279859542847,0.09161478281021118,0.08714167028665543,0.08957447856664658
ev1_status,0.05,100,7,0.08855029791593552,0.0883796438574791,0.08932334184646606,0.09066641330718994,0.0858708992600441,0.08851119130849838
ev1_status,0.05,300,3,0.08230000585317612,0.07980816811323166,0.08283326774835587,0.08454836159944534,0.08037539571523666,0.08393483608961105
ev1_status,0.05,300,5,0.08247340321540833,0.07986649870872498,0.08207479119300842,0.08569997549057007,0.08059057593345642,0.08413517475128174
ev1_status,0.05,300,7,0.08458829075098037,0.08311127871274948,0.08373084664344788,0.08579663187265396,0.0820499062538147,0.08825279027223587
ev1_status,0.05,600,3,0.08206512480974197,0.07930908352136612,0.08218324929475784,0.08468413352966309,0.08051925152540207,0.08362990617752075
ev1_status,0.05,600,5,0.08406489193439484,0.08095652610063553,0.08161726593971252,0.08657243102788925,0.08383049815893173,0.08734773844480515
ev1_status,0.05,600,7,0.08694759458303451,0.0880947932600975,0.08306354284286499,0.08837371319532394,0.085809625685215,0.08939629793167114
ev1_status,0.1,100,3,0.08338219374418258,0.08106153458356857,0.08413904905319214,0.0850548967719078,0.08196978271007538,0.08468570560216904
ev1_status,0.1,100,5,0.08258287906646729,0.08033967763185501,0.0827060416340828,0.08576047420501709,0.08033633977174759,0.08377186208963394
ev1_status,0.1,100,7,0.08331806659698486,0.0826980248093605,0.08327066898345947,0.08538395166397095,0.08038961887359619,0.0848480686545372
ev1_status,0.1,300,3,0.08203059583902358,0.07949159294366837,0.08254352957010269,0.08453220129013062,0.08005067706108093,0.08353497833013535
ev1_status,0.1,300,5,0.08459893465042115,0.08323939889669418,0.08346962183713913,0.08537779003381729,0.08387712389230728,0.08703073859214783
ev1_status,0.1,300,7,0.08726875334978104,0.08854707330465317,0.0822734609246254,0.09019681066274643,0.08473364263772964,0.09059277921915054
ev1_status,0.1,600,3,0.08337577730417252,0.07966260612010956,0.08283986151218414,0.08579713106155396,0.08308494836091995,0.08549433946609497
ev1_status,0.1,600,5,0.08698351830244064,0.08559929579496384,0.08369927853345871,0.08960924297571182,0.08734488487243652,0.08866488933563232
ev1_status,0.1,600,7,0.09247644394636154,0.09429045766592026,0.0860581025481224,0.09458396583795547,0.08940959721803665,0.09804009646177292
ev1_status,0.2,100,3,0.08226681053638459,0.07986456155776978,0.08230914920568466,0.08488442748785019,0.08040118962526321,0.08387472480535507
ev1_status,0.2,100,5,0.08283784836530686,0.08030164241790771,0.08277647197246552,0.08605942875146866,0.08105456084012985,0.08399713784456253
ev1_status,0.2,100,7,0.08526645749807357,0.08435197919607162,0.08305595815181732,0.08795865625143051,0.08324764668941498,0.08771804720163345
ev1_status,0.2,300,3,0.08280850946903229,0.08027614653110504,0.08271723240613937,0.08492960780858994,0.08183533698320389,0.0842842236161232
ev1_status,0.2,300,5,0.0862321451306343,0.08851698786020279,0.08177191019058228,0.0879085436463356,0.0859241709113121,0.08703911304473877
ev1_status,0.2,300,7,0.09293541908264161,0.09548870474100113,0.0867113471031189,0.09395840018987656,0.09090012311935425,0.09761852025985718
ev1_status,0.2,600,3,0.0852518379688263,0.0833086147904396,0.08482947945594788,0.08757229894399643,0.08407765626907349,0.08647114038467407
