target,n_estimators,max_depth,min_samples_leaf,max_features,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
ev1_status,400,12.0,3,0.7,0.0845123279867033,0.08540321376933784,0.08284266458886656,0.08644014573854915,0.08300202471860015,0.0848735911181628
ev2_status,200,,1,sqrt,0.16984041528978194,0.22195923971645146,0.17730439326942835,0.2212702008515293,0.08341788887154394,0.14525035373995654
ev2_status,200,,1,0.7,0.1610668968384456,0.22384408336614503,0.17709105336597433,0.18014388602102918,0.08301077633464721,0.14124468510443247
ev2_status,200,,3,sqrt,0.1206957789869669,0.1736670255349113,0.08766799403280214,0.17188278236934598,0.08117116813387472,0.08908992486390044
ev2_status,200,,3,0.7,0.11390113861378577,0.13855915637259816,0.08861913679244195,0.1715065109574426,0.08147913940122566,0.08934174954522041
ev2_status,200,12.0,1,sqrt,0.08464415830664505,0.08636522600062452,0.08617234707116779,0.08475678439406935,0.08022094767636001,0.08570548639100363
ev2_status,200,12.0,1,0.7,0.08576883558875623,0.08831188851505185,0.08785657042964479,0.08584020376144856,0.08042255570244279,0.08641295953519318
ev2_status,200,12.0,3,sqrt,0.08465037896697566,0.08666372841631341,0.08526249306341661,0.08532095566017811,0.08065090835533638,0.08535380933963377
ev2_status,200,12.0,3,0.7,0.08485122732839072,0.08717370934709585,0.08573707201270113,0.0860958449446184,0.08019554290033312,0.08505396743720507
ev2_status,400,,1,sqrt,0.16194539779817146,0.22124582063238032,0.17713513294117636,0.22271942901056171,0.08320609732246463,0.10542050908427442
ev2_status,400,,1,0.7,0.1459899255218095,0.22299698249320976,0.1366769764399961,0.18260093216584714,0.08260563637912821,0.10506910013086634
ev2_status,400,,3,sqrt,0.11354288394910153,0.13676357631575267,0.08795742733870053,0.1720686653717172,0.0813042927091287,0.08962045801020851
ev2_status,400,,3,0.7,0.11404379980240101,0.13821409580354715,0.08897327895460272,0.1718185583374874,0.08118465604910384,0.0900284098672639
ev2_status,400,12.0,1,sqrt,0.08467510790844537,0.08671692776398583,0.08588352396512433,0.08486561010030312,0.07983726062725786,0.08607221708555568
ev2_status,400,12.0,1,0.7,0.08550216227718624,0.08764857063819381,0.08731829322123169,0.08560310802531391,0.08007146527680421,0.0868693742243876
ev2_status,400,12.0,3,sqrt,0.08470614022948057,0.08648877201423233,0.08533692309389644,0.08536639735418668,0.08052386531643103,0.08581474336865642
ev2_status,400,12.0,3,0.7,0.08469075752049146,0.08640877218528986,0.08584922355811214,0.08561186338164993,0.07998779833990192,0.08559613013750345
