feature,importance,target,fold_id
observed_window_length_2,0.015213763331508139,ev2_status,B
window_length_slack_1,0.006523580447972741,ev2_status,B
window_length_slack_2,0.014616151143891778,ev2_status,B
timestep,0.027293356211506553,ev2_status,C
status,0.2315365993367192,ev2_status,C
time_sin,0.0032528791103349722,ev2_status,C
time_cos,0.01327418107553042,ev2_status,C
steps_in_current_state,0.019281862163497632,ev2_status,C
phase_id,0.05828533639690464,ev2_status,C
status_lag_1,0.10713150151113462,ev2_status,C
status_lag_1_is_pad,3.281731215808246e-07,ev2_status,C
status_lag_2,0.12420916295948971,ev2_status,C
status_lag_2_is_pad,6.409070300089745e-07,ev2_status,C
status_lag_4,0.06140199715326335,ev2_status,C
status_lag_4_is_pad,5.129857046185289e-07,ev2_status,C
status_lag_8,0.002487966158733141,ev2_status,C
status_lag_8_is_pad,1.766376123869244e-05,ev2_status,C
start1_earliest,0.0,ev2_status,C
end1_latest,0.0,ev2_status,C
start2_earliest,0.0,ev2_status,C
end2_latest,0.0,ev2_status,C
max_commute_steps_1,0.0,ev2_status,C
max_commute_steps_2,0.0,ev2_status,C
steps_to_start1_earliest,0.026957104992148748,ev2_status,C
steps_to_end1_latest,0.02953333185353608,ev2_status,C
steps_to_start2_earliest,0.024685609219211518,ev2_status,C
steps_to_end2_latest,0.020029037838805358,ev2_status,C
start1,0.031177239709861797,ev2_status,C
end1,0.01406615739243496,ev2_status,C
start2,0.027465485779598543,ev2_status,C
end2,0.013557629163541158,ev2_status,C
start1_observed,0.04084434479354236,ev2_status,C
end1_observed,0.011877181174028938,ev2_status,C
start2_observed,0.04605160971520015,ev2_status,C
end2_observed,0.013621869078690806,ev2_status,C
observed_window_length_1,0.009139086575821433,ev2_status,C
observed_window_length_2,0.02007578818780266,ev2_status,C
window_length_slack_1,0.005873569075763136,ev2_status,C
window_length_slack_2,0.016870967545803268,ev2_status,C
timestep,0.02554232708946985,ev2_status,D
status,0.23109020838454192,ev2_status,D
time_sin,0.0032892823464890164,ev2_status,D
time_cos,0.01727277830416257,ev2_status,D
steps_in_current_state,0.018890891901603448,ev2_status,D
phase_id,0.06843922268871315,ev2_status,D
status_lag_1,0.1076940185548249,ev2_status,D
status_lag_1_is_pad,3.3122500302269986e-07,ev2_status,D
status_lag_2,0.12221568493173744,ev2_status,D
status_lag_2_is_pad,6.663902495521508e-07,ev2_status,D
status_lag_4,0.060852140933787525,ev2_status,D
status_lag_4_is_pad,3.706086303636735e-08,ev2_status,D
status_lag_8,0.0023233061257070748,ev2_status,D
status_lag_8_is_pad,1.89497547612858e-05,ev2_status,D
start1_earliest,0.0,ev2_status,D
end1_latest,0.0,ev2_status,D
start2_earliest,0.0,ev2_status,D
end2_latest,0.0,ev2_status,D
max_commute_steps_1,0.0,ev2_status,D
max_commute_steps_2,0.0,ev2_status,D
steps_to_start1_earliest,0.026797953946758594,ev2_status,D
steps_to_end1_latest,0.029096372369866067,ev2_status,D
steps_to_start2_earliest,0.02938597822169831,ev2_status,D
steps_to_end2_latest,0.021130394252915997,ev2_status,D
start1,0.03134846238333303,ev2_status,D
end1,0.015024735585150252,ev2_status,D
start2,0.028815219816676913,ev2_status,D
end2,0.014766524871621405,ev2_status,D
start1_observed,0.040738509279936615,ev2_status,D
end1_observed,0.011335539843121445,ev2_status,D
start2_observed,0.04492113376757305,ev2_status,D
end2_observed,0.01341449262968311,ev2_status,D
observed_window_length_1,0.007994321893111953,ev2_status,D
observed_window_length_2,0.009748278647611165,ev2_status,D
window_length_slack_1,0.004601381659988927,ev2_status,D
window_length_slack_2,0.01325085513903942,ev2_status,D
timestep,0.024184940095162054,ev2_status,E
status,0.22943269926931154,ev2_status,E
time_sin,0.0028741006407625473,ev2_status,E
time_cos,0.015203072442440067,ev2_status,E
steps_in_current_state,0.01780684240466415,ev2_status,E
phase_id,0.06783222051783028,ev2_status,E
status_lag_1,0.11234998446862708,ev2_status,E
status_lag_1_is_pad,3.3514274562579686e-07,ev2_status,E
status_lag_2,0.12736389624660202,ev2_status,E
status_lag_2_is_pad,6.100975187042564e-07,ev2_status,E
status_lag_4,0.06174822027305379,ev2_status,E
status_lag_4_is_pad,2.676756720108845e-07,ev2_status,E
status_lag_8,0.003973492730216359,ev2_status,E
status_lag_8_is_pad,2.0319977596494122e-05,ev2_status,E
start1_earliest,0.0,ev2_status,E
end1_latest,0.0,ev2_status,E
start2_earliest,0.0,ev2_status,E
end2_latest,0.0,ev2_status,E
max_commute_steps_1,0.0,ev2_status,E
max_commute_steps_2,0.0,ev2_status,E
steps_to_start1_earliest,0.027993066535093515,ev2_status,E
steps_to_end1_latest,0.0303430936790601,ev2_status,E
steps_to_start2_earliest,0.0279737125431863,ev2_status,E
steps_to_end2_latest,0.025866685686961936,ev2_status,E
start1,0.03195888793393788,ev2_status,E
end1,0.011893831768971255,ev2_status,E
start2,0.04348126262335806,ev2_status,E
