params,score
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.28799
"{""max_depth"": 25, ""max_features"": 0.2, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.28612
"{""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.28716
"{""max_depth"": 25, ""max_features"": 0.4, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.29056
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.2855
"{""max_depth"": 25, ""max_features"": 0.2, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.28381
"{""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.28818
"{""max_depth"": 25, ""max_features"": 0.4, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.28915
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28461
"{""max_depth"": 25, ""max_features"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.2844
"{""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28732
"{""max_depth"": 25, ""max_features"": 0.4, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28622
"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28244
"{""max_depth"": 25, ""max_features"": 0.2, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28261
"{""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28523
"{""max_depth"": 25, ""max_features"": 0.4, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28465
