params,score
"{""learning_rate"": 0.8, ""max_depth"": 3, ""n_estimators"": 500}",0.34599
"{""learning_rate"": 1.0, ""max_depth"": 3, ""n_estimators"": 500}",0.3355
"{""learning_rate"": 1.5, ""max_depth"": 3, ""n_estimators"": 500}",0.44607
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 500}",0.32562
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500}",0.32043
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500}",0.31821
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 500}",0.32931
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 500}",0.33027
"{""learning_rate"": 0.8, ""max_depth"": 5, ""n_estimators"": 500}",0.35129
"{""learning_rate"": 1.0, ""max_depth"": 5, ""n_estimators"": 500}",0.37736
"{""learning_rate"": 1.5, ""max_depth"": 5, ""n_estimators"": 500}",0.49948
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 500}",0.32951
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 500}",0.33074
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 500}",0.3301
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 500}",0.33654
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 500}",0.34243
"{""learning_rate"": 0.8, ""max_depth"": 7, ""n_estimators"": 500}",0.34825
"{""learning_rate"": 1.0, ""max_depth"": 7, ""n_estimators"": 500}",0.38498
"{""learning_rate"": 1.5, ""max_depth"": 7, ""n_estimators"": 500}",0.47694
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 500}",0.33073
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 500}",0.33151
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 500}",0.33376
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 500}",0.33314
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 500}",0.32881
"{""learning_rate"": 0.8, ""max_depth"": 9, ""n_estimators"": 500}",0.37666
"{""learning_rate"": 1.0, ""max_depth"": 9, ""n_estimators"": 500}",0.39437
"{""learning_rate"": 1.5, ""max_depth"": 9, ""n_estimators"": 500}",0.50488
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 600}",0.30939
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600}",0.31743
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600}",0.31657
