n_train_days,rmse,train_seed
15,0.8417869785003521,1
16,0.8446207063692001,1
17,0.8335439995682409,1
18,0.8281763195036796,1
19,0.814080862625695,1
20,0.8152508141449455,1
21,0.8177718346765372,1
22,0.8120881606390644,1
23,0.8181722158993734,1
24,0.8110831978222914,1
25,0.7980313366910001,1
26,0.7971045279267992,1
27,0.8063642211379919,1
28,0.808629341695836,1
29,0.7962535608929154,1
30,0.7757037704472574,1
31,0.7739035684818004,1
32,0.7728181959188811,1
33,0.7695552683868789,1
34,0.7698809090904106,1
35,0.7755996862320272,1
36,0.7728666640699601,1
37,0.7708972727233616,1
38,0.7692081191681542,1
39,0.7759216858831265,1
40,0.7747060611820266,1
41,0.7747038037276063,1
42,0.7761877237673951,1
43,0.7734468993932835,1
44,0.7743715547948686,1
45,0.7715024076473134,1
46,0.7714066178471916,1
47,0.7713767412858537,1
48,0.7714413543742793,1
49,0.7726887507091561,1
50,0.7516839231763828,1
51,0.7495184213964154,1
52,0.7485395614451215,1
53,0.748706055108014,1
54,0.7503798752276267,1
55,0.7512559989707046,1
56,0.7542628262655838,1
57,0.7566097208454108,1
58,0.7547234029488675,1
59,0.7522765914963081,1
60,0.7511375824263828,1
61,0.752617014816335,1
62,0.7468692760993626,1
63,0.746143684589637,1
64,0.7461933994460345,1
65,0.7470993117499207,1
66,0.7484755318155109,1
67,0.7610312197472278,1
68,0.7632008867093623,1
69,0.7607993236208004,1
70,0.7576791811782978,1
71,0.7088608790189967,1
72,0.7087801076852817,1
73,0.7116803803461056,1
74,0.7113620964737353,1
75,0.7134582569528959,1
76,0.7087066668978488,1
77,0.7098092468298122,1
78,0.7121430859627185,1
79,0.7129641082157979,1
80,0.7122137878235734,1
81,0.7118730665635689,1
82,0.7130705873834421,1
83,0.7144619226736618,1
84,0.7121177647119085,1
85,0.713587906917631,1
86,0.7125464891825735,1
87,0.7133527900914077,1
88,0.7138844382722255,1
89,0.7146281642795566,1
90,0.7132282505734456,1
91,0.7143823532804335,1
92,0.7162960176974988,1
93,0.7156382772741695,1
94,0.7130079563781492,1
95,0.7131169528386818,1
96,0.7153043768356906,1
97,0.7169899899501776,1
98,0.7143304197428011,1
99,0.713836191401075,1
100,0.7139604662150265,1
101,0.7180058235466769,1
102,0.7159658518026978,1
103,0.7185803741850515,1
104,0.708916149947264,1
105,0.7094116887786578,1
106,0.7090386638338574,1
107,0.710534291611438,1
108,0.7107110317898078,1
109,0.70950981158502,1
110,0.7131729843814245,1
111,0.7106675950784099,1
112,0.7105113606209248,1
113,0.7113421149457938,1
114,0.7110791851401376,1
115,0.712007567851014,1
116,0.7110637915625129,1
117,0.7119534079863358,1
118,0.7126030773722178,1
119,0.7125161683697588,1
120,0.711923699740325,1
1,1.921279153180885,2
2,0.8016605824091939,2
3,0.7917745244636272,2
4,0.7893617999772532,2
5,0.789306465399779,2
6,0.7786041071852646,2
7,0.7712933695674169,2
8,0.7728071833248409,2
9,0.7663504881093914,2
10,0.7566300934382514,2
11,0.7530661601628124,2
12,0.7538944807172209,2
13,0.7497487176990362,2
14,0.7481128701603061,2
15,0.7504742075015198,2
16,0.7447756428496208,2
17,0.7457041539210411,2
18,0.7319770210001997,2
19,0.7532891499770474,2
20,0.7465614507743151,2
21,0.7418332078732007,2
22,0.7429450453188426,2
23,0.7375318441564215,2
24,0.7350030455721517,2
25,0.731716082536479,2
26,0.7278282222520549,2
27,0.7512124928880439,2
28,0.7486746886597772,2
29,0.742643860609093,2
30,0.7281817603589038,2
31,0.7515349103544392,2
32,0.7555020164942228,2
33,0.7169558557229126,2
34,0.7159515331668689,2
35,0.7146692601207638,2
36,0.7188067982087835,2
37,0.720941289755111,2
38,0.7235149574477314,2
39,0.7207819718935676,2
40,0.7222997586787707,2
41,0.7220270700458323,2
42,0.7159869053537544,2
43,0.7227481141358907,2
44,0.7226311449889324,2
45,0.7219857586114229,2
46,0.7223729462525057,2
47,0.7025138783026633,2
48,0.702800709909722,2
49,0.7066699137711138,2
50,0.704369115865589,2
51,0.7009981664595237,2
52,0.7012921069027819,2
53,0.7005904737141757,2
54,0.7018593017125483,2
55,0.7035024231186172,2
56,0.7023285919370074,2
57,0.7043922182277385,2
58,0.7052697926951835,2
59,0.7044026315011859,2
60,0.7014835151661527,2
61,0.7001267818435503,2
62,0.7020987713961263,2
63,0.7017876653643608,2
64,0.6999341155645091,2
65,0.6957759366041507,2
66,0.6952977660115139,2
67,0.6946492751979693,2
68,0.6983230774204432,2
69,0.6835370015516108,2
70,0.6841907268326782,2
71,0.6851141875799488,2
72,0.6844233558848878,2
73,0.6857144832451357,2
74,0.6843455997515469,2
75,0.6850154013392319,2
76,0.6850351222350443,2
77,0.6856799201996543,2
78,0.6813761468705646,2
79,0.6830363720226369,2
80,0.6835400493473723,2
81,0.6829827384125434,2
82,0.6822981756191072,2
83,0.6843920006236833,2
84,0.685263807802929,2
85,0.6862852856977375,2
86,0.6870572347002232,2
87,0.6877071730569815,2
88,0.6874041339170984,2
89,0.6898554933132386,2
90,0.6895795149017506,2
91,0.6909785745343708,2
92,0.6911766657956765,2
93,0.6912749060043674,2
94,0.689678938028513,2
95,0.6890330880040427,2
96,0.6884453348303831,2
97,0.6918531701458981,2
98,0.6924860576454808,2
99,0.6925578377550883,2
100,0.6927142674407346,2
101,0.6939024216626314,2
102,0.6917104636078791,2
103,0.6805256476359278,2
104,0.6813088742384131,2
105,0.6805986336822744,2
106,0.6792485432832276,2
107,0.6769699274248016,2
108,0.6761786565003061,2
109,0.6763757703065804,2
110,0.6774421522221983,2
111,0.6766795941484431,2
112,0.6768500347534268,2
113,0.6775718458520912,2
114,0.6776517850299434,2
115,0.6773805841703457,2
116,0.6764809652083095,2
117,0.6763760423933153,2
118,0.6776440895376734,2
119,0.6773639053962918,2
120,0.6769933900283748,2
1,1.0201209770139836,3
2,2.2613075796282787,3
