family,target,fold_id,household_id,timestep,ev_key,y_true,y_pred
rf,base_load,fold_1,2,23,,0.257962112,0.2321074723278571
rf,base_load,fold_1,2,24,,0.234223267,0.25237525712333336
rf,base_load,fold_1,2,25,,0.234223267,0.22501377493777772
rf,base_load,fold_1,2,26,,0.246883985,0.3065363920383334
rf,base_load,fold_1,2,27,,0.246883985,0.24756861738082256
rf,base_load,fold_1,2,28,,0.204154064,0.28439376565228175
rf,base_load,fold_1,2,29,,0.204154064,0.22520326059940476
rf,base_load,fold_1,2,30,,0.231058088,0.28035220462535715
rf,base_load,fold_1,2,31,,0.231058088,0.2270355273916072
rf,base_load,fold_1,2,32,,0.22472773,0.2666076411753572
rf,base_load,fold_1,2,33,,0.22472773,0.2581281531132341
rf,base_load,fold_1,2,34,,0.234223267,0.2758218748621032
rf,base_load,fold_1,2,35,,0.234223267,0.23814063194795637
rf,base_load,fold_1,2,36,,0.259544702,0.24126271815212302
rf,base_load,fold_1,2,37,,0.259544702,0.27195074394146823
rf,base_load,fold_1,2,38,,0.126607172,0.2669707669351785
rf,base_load,fold_1,2,39,,0.126607172,0.12890461317722224
rf,base_load,fold_1,2,40,,0.169337092,0.17717852205281748
rf,base_load,fold_1,2,41,,0.169337092,0.18176638738378967
rf,base_load,fold_1,2,42,,0.229475499,0.29248749514206346
rf,base_load,fold_1,2,43,,0.229475499,0.22448798099248918
rf,base_load,fold_1,2,44,,0.131354941,0.17540777301392857
rf,base_load,fold_1,2,45,,0.131354941,0.13142536092127344
rf,base_load,fold_1,2,46,,1.275567254,0.18558290233130953
rf,base_load,fold_1,2,47,,1.275567254,1.7572377428196435
rf,base_load,fold_1,2,48,,1.281897613,0.6538247084930068
rf,base_load,fold_1,2,49,,1.281897613,1.260273836729127
rf,base_load,fold_1,2,50,,1.29297574,1.5042180471304367
rf,base_load,fold_1,2,51,,1.29297574,1.5882680718237085
rf,base_load,fold_1,2,52,,1.33887084,1.6295010893787087
rf,base_load,fold_1,2,53,,1.33887084,1.2166384817920615
rf,base_load,fold_1,2,54,,1.319879764,1.4980700576388093
rf,base_load,fold_1,2,55,,1.319879764,1.5600784291301983
rf,base_load,fold_1,2,56,,1.391096298,1.8194938776776985
rf,base_load,fold_1,2,57,,1.391096298,1.5582438785501982
rf,base_load,fold_1,2,58,,1.492382035,1.5791237876665476
rf,base_load,fold_1,2,59,,1.492382035,1.5738075010578876
rf,base_load,fold_1,2,60,,1.451234705,1.5146597919514482
rf,base_load,fold_1,2,61,,1.451234705,1.4386741255850795
rf,base_load,fold_1,2,62,,1.474973549,1.3987260703266664
rf,base_load,fold_1,2,63,,1.474973549,1.5858885480523213
rf,base_load,fold_1,2,64,,1.467060601,1.917696620798988
rf,base_load,fold_1,2,65,,1.467060601,1.9550351445234326
rf,base_load,fold_1,2,66,,1.384765939,1.9237843497939036
rf,base_load,fold_1,2,67,,1.384765939,1.6977762364488096
rf,base_load,fold_1,2,68,,1.392678888,1.5966085946858477
rf,base_load,fold_1,2,69,,1.392678888,1.6592516336682084
rf,base_load,fold_1,2,70,,0.479524662,1.863512633098512
rf,base_load,fold_1,2,71,,0.479524662,0.5465054671727975
rf,base_load,fold_1,2,72,,0.925814942,0.5212181358292658
rf,base_load,fold_1,2,73,,0.925814942,1.018397580647619
rf,base_load,fold_1,2,74,,0.235805857,0.9571885290652778
rf,base_load,fold_1,2,75,,0.235805857,0.22824549714333334
rf,base_load,fold_1,2,76,,0.193075937,0.5216628074286705
rf,base_load,fold_1,2,77,,0.193075937,0.2156378361507882
rf,base_load,fold_1,2,78,,0.319683108,0.532136686809881
rf,base_load,fold_1,2,79,,0.319683108,0.34462227573301596
rf,base_load,fold_1,2,80,,0.498515738,0.3709482820301985
rf,base_load,fold_1,2,81,,0.498515738,0.5357993819333117
rf,base_load,fold_1,2,82,,0.378238925,0.7445731168151785
rf,base_load,fold_1,2,83,,0.378238925,0.3891351910153572
rf,base_load,fold_1,2,84,,0.449455459,0.44726602423474204
rf,base_load,fold_1,2,85,,0.449455459,0.45002275209327197
rf,base_load,fold_1,2,86,,0.35766526,0.5369642505613834
rf,base_load,fold_1,2,87,,0.35766526,0.37279736282971865
rf,base_load,fold_1,2,88,,0.326013467,0.4396060574745473
rf,base_load,fold_1,2,89,,0.326013467,0.36915744352404756
rf,base_load,fold_1,2,90,,0.256379523,0.49688779353154766
rf,base_load,fold_1,2,91,,0.256379523,0.28368700637640154
