TRIPID,PERSID,HHID,STOPS,TRIPNO,STARTHOUR,STARTIME,ARRHOUR,ARRTIME,TRAVTIME,TRIPTIME,WAITIME,CUMDIST,ORIGPLACE2,ORIGPURP2,DESTPLACE2,DESTPURP2,TRIPPURP,LINKMODE,DIST_GRP,Time_Grp,TIME1
Y15H1450220P01T01,Y15H1450220P01,Y15H1450220,1,1,11,690,12,730,40,40,0,34.45,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,30 - 34.9,40 - 44,40
Y15H1450220P01T02,Y15H1450220P01,Y15H1450220,1,2,17,1050,18,1080,30,30,0,34.45,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,30 - 34.9,30 - 34,30
Y15H1451010P02T01,Y15H1451010P02,Y15H1451010,1,1,8,520,9,545,25,25,0,20.69,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,25 - 29,25
Y15H1451010P02T02,Y15H1451010P02,Y15H1451010,1,2,18,1080,18,1105,25,25,0,20.69,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,25 - 29,25
Y15H1460330P01T01,Y15H1460330P01,Y15H1460330,1,1,9,540,9,570,30,30,0,9.91,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1460330P01T02,Y15H1460330P01,Y15H1460330,1,2,17,1050,18,1085,35,35,0,9.91,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,35 - 39,35
Y15H1470225P02T01,Y15H1470225P02,Y15H1470225,1,1,8,530,9,560,30,30,0,9.36,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1470225P02T02,Y15H1470225P02,Y15H1470225,1,2,17,1065,18,1095,30,30,0,9.36,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1470301P03T01,Y15H1470301P03,Y15H1470301,1,1,8,480,9,555,75,75,0,21.07,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,70 - 79,75
Y15H1470301P03T02,Y15H1470301P03,Y15H1470301,1,2,18,1080,19,1140,60,60,0,21.07,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y15H1470310P02T01,Y15H1470310P02,Y15H1470310,1,1,8,500,9,549,49,49,0,15.33,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,15 - 15.9,45 - 49,49
Y15H1470310P02T02,Y15H1470310P02,Y15H1470310,1,2,18,1080,18,1110,30,30,0,15.33,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,15 - 15.9,30 - 34,30
Y15H1470319P01T01,Y15H1470319P01,Y15H1470319,1,1,8,510,9,555,45,45,0,19.87,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,19 - 19.9,45 - 49,45
Y15H1470319P01T02,Y15H1470319P01,Y15H1470319,1,2,19,1170,20,1200,30,30,0,19.87,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,19 - 19.9,30 - 34,30
Y15H1470332P01T01,Y15H1470332P01,Y15H1470332,1,1,8,480,9,540,60,60,0,23.56,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y15H1470332P01T02,Y15H1470332P01,Y15H1470332,1,2,17,1050,18,1095,45,45,0,23.56,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,45 - 49,45
Y15H1470430P01T01,Y15H1470430P01,Y15H1470430,1,1,8,480,8,525,45,45,0,3.67,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,45 - 49,45
Y15H1470430P01T02,Y15H1470430P01,Y15H1470430,1,2,18,1080,18,1110,30,30,0,3.67,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,30 - 34,30
Y15H1470439P01T01,Y15H1470439P01,Y15H1470439,1,1,8,510,9,540,30,30,0,9.99,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1470439P01T02,Y15H1470439P01,Y15H1470439,1,2,19,1140,19,1170,30,30,0,9.99,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1480310P01T01,Y15H1480310P01,Y15H1480310,1,1,8,510,8,530,20,20,0,2.64,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,2 - 2.9,20 - 24,20
Y15H1480310P01T02,Y15H1480310P01,Y15H1480310,1,2,18,1080,18,1095,15,15,0,2.64,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,2 - 2.9,15 - 19,15
Y15H1480418P02T01,Y15H1480418P02,Y15H1480418,1,1,8,480,8,510,30,30,0,9.9,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1480418P02T02,Y15H1480418P02,Y15H1480418,1,2,17,1050,18,1080,30,30,0,9.9,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1480518P01T01,Y15H1480518P01,Y15H1480518,1,1,9,540,10,600,60,60,0,23.83,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y15H1480518P01T02,Y15H1480518P01,Y15H1480518,1,2,18,1080,18,1120,40,40,0,23.83,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,40 - 44,40
Y15H1490227P02T01,Y15H1490227P02,Y15H1490227,1,1,11,710,12,735,25,25,0,10.34,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,10 - 10.9,25 - 29,25
Y15H1490227P02T02,Y15H1490227P02,Y15H1490227,1,2,18,1085,18,1105,20,20,0,10.34,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,10 - 10.9,20 - 24,20
Y15H1490238P02T01,Y15H1490238P02,Y15H1490238,1,1,9,540,9,560,20,20,0,8.92,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,20 - 24,20
Y15H1490238P02T02,Y15H1490238P02,Y15H1490238,1,2,18,1080,18,1100,20,20,0,8.92,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,20 - 24,20
Y15H1490336P01T01,Y15H1490336P01,Y15H1490336,1,1,8,480,8,495,15,15,0,3.1,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,15 - 19,15
Y15H1490336P01T02,Y15H1490336P01,Y15H1490336,1,2,18,1110,18,1120,10,10,0,3.1,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,10. - 14.,10
Y15H1490416P01T01,Y15H1490416P01,Y15H1490416,1,1,8,510,9,540,30,30,0,11.91,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y15H1490416P01T02,Y15H1490416P01,Y15H1490416,1,2,18,1080,18,1135,55,55,0,11.91,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,55 - 59,55
Y15H1510332P01T01,Y15H1510332P01,Y15H1510332,1,1,8,510,9,540,30,30,0,7.97,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,30 - 34,30
Y15H1510332P01T02,Y15H1510332P01,Y15H1510332,1,2,18,1080,18,1110,30,30,0,7.97,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,30 - 34,30
Y15H1510525P01T01,Y15H1510525P01,Y15H1510525,1,1,8,510,9,540,30,30,0,3.46,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,30 - 34,30
Y15H1510525P01T02,Y15H1510525P01,Y15H1510525,1,2,18,1110,19,1140,30,30,0,3.46,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,30 - 34,30
Y15H1510532P01T01,Y15H1510532P01,Y15H1510532,1,1,10,600,10,615,15,15,0,9.1,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,15 - 19,15
Y15H1510532P01T02,Y15H1510532P01,Y15H1510532,1,2,17,1065,18,1080,15,15,0,9.1,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,15 - 19,15
Y15H1520237P02T01,Y15H1520237P02,Y15H1520237,1,1,9,540,9,555,15,15,0,4.51,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y15H1520237P02T02,Y15H1520237P02,Y15H1520237,1,2,19,1145,19,1165,20,20,0,4.51,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,4 - 4.9,20 - 24,20
Y15H1530101P02T01,Y15H1530101P02,Y15H1530101,1,1,8,510,9,570,60,60,0,45.13,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,45 - 49.9,60 - 69,60
Y15H1530101P02T02,Y15H1530101P02,Y15H1530101,1,2,18,1080,19,1140,60,60,0,45.13,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,45 - 49.9,60 - 69,60
Y15H1530311P01T01,Y15H1530311P01,Y15H1530311,1,1,8,480,8,495,15,15,0,5.59,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y15H1530311P01T02,Y15H1530311P01,Y15H1530311,1,2,17,1050,17,1065,15,15,0,5.59,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y15H1530430P03T01,Y15H1530430P03,Y15H1530430,1,1,11,660,11,670,10,10,0,6.07,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,6 - 6.9,10. - 14.,10
Y15H1530430P03T02,Y15H1530430P03,Y15H1530430,1,2,21,1260,21,1275,15,15,0,6.07,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,6 - 6.9,15 - 19,15
Y15H1540230P01T01,Y15H1540230P01,Y15H1540230,1,1,8,505,9,540,35,35,0,13.6,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,35 - 39,35
Y15H1540230P01T02,Y15H1540230P01,Y15H1540230,1,2,17,1050,18,1095,45,45,0,13.6,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,45 - 49,45
Y15H1550223P01T01,Y15H1550223P01,Y15H1550223,1,1,8,510,8,535,25,25,0,12.34,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,12 - 12.9,25 - 29,25
Y15H1550223P01T02,Y15H1550223P01,Y15H1550223,1,2,17,1050,18,1095,45,45,0,12.34,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,12 - 12.9,45 - 49,45
Y15H1560523P01T01,Y15H1560523P01,Y15H1560523,1,1,9,540,9,585,45,45,0,35.02,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,35 - 39.9,45 - 49,45
Y15H1560523P01T02,Y15H1560523P01,Y15H1560523,1,2,18,1080,18,1125,45,45,0,35.02,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,35 - 39.9,45 - 49,45
Y15H1570239P04T01,Y15H1570239P04,Y15H1570239,1,1,9,540,9,560,20,20,0,3.54,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,20 - 24,20
Y15H1570239P04T02,Y15H1570239P04,Y15H1570239,1,2,17,1050,17,1065,15,15,0,3.54,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,15 - 19,15
Y15H1590102P01T01,Y15H1590102P01,Y15H1590102,1,1,10,630,10,650,20,20,0,9.96,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,20 - 24,20
Y15H1590102P01T02,Y15H1590102P01,Y15H1590102,1,2,21,1260,21,1290,30,30,0,9.96,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1590242P01T01,Y15H1590242P01,Y15H1590242,1,1,10,630,11,660,30,30,0,15.3,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,15 - 15.9,30 - 34,30
Y15H1590242P01T02,Y15H1590242P01,Y15H1590242,1,2,17,1050,18,1080,30,30,0,15.3,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,15 - 15.9,30 - 34,30
Y15H1590318P02T01,Y15H1590318P02,Y15H1590318,1,1,8,510,8,535,25,25,0,7.28,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,25 - 29,25
Y15H1590318P02T02,Y15H1590318P02,Y15H1590318,1,2,17,1055,18,1095,40,40,0,7.28,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,40 - 44,40
Y15H1591001P02T01,Y15H1591001P02,Y15H1591001,1,1,8,510,8,525,15,15,0,7.17,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,15 - 19,15
Y15H1591001P02T02,Y15H1591001P02,Y15H1591001,1,2,17,1050,17,1065,15,15,0,7.17,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,15 - 19,15
Y15H1591015P01T01,Y15H1591015P01,Y15H1591015,1,1,8,480,8,495,15,15,0,4.44,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y15H1591015P01T02,Y15H1591015P01,Y15H1591015,1,2,17,1050,17,1060,10,10,0,4.44,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,4 - 4.9,10. - 14.,10
Y15H1600122P03T01,Y15H1600122P03,Y15H1600122,1,1,10,600,10,630,30,30,0,20.39,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,30 - 34,30
Y15H1600122P03T02,Y15H1600122P03,Y15H1600122,1,2,17,1050,18,1080,30,30,0,20.39,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,30 - 34,30
Y15H1600236P02T01,Y15H1600236P02,Y15H1600236,2,1,9,540,9,585,45,45,0,13.53,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,45 - 49,35
Y15H1600236P02T02,Y15H1600236P02,Y15H1600236,2,2,18,1100,19,1150,50,50,0,13.53,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,50 - 54,10
Y15H1610224P02T01,Y15H1610224P02,Y15H1610224,1,1,9,540,9,570,30,30,0,10.82,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,10 - 10.9,30 - 34,30
Y15H1610224P02T02,Y15H1610224P02,Y15H1610224,1,2,18,1110,19,1140,30,30,0,10.82,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,10 - 10.9,30 - 34,30
Y15H1610436P01T01,Y15H1610436P01,Y15H1610436,1,1,8,480,8,510,30,30,0,12.19,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,12 - 12.9,30 - 34,30
Y15H1610436P01T02,Y15H1610436P01,Y15H1610436,1,2,18,1080,18,1125,45,45,0,12.19,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,12 - 12.9,45 - 49,45
Y15H1620330P01T01,Y15H1620330P01,Y15H1620330,1,1,8,495,8,520,25,25,0,7.09,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,25 - 29,25
Y15H1620330P01T02,Y15H1620330P01,Y15H1620330,1,2,17,1067,18,1105,38,38,0,7.09,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,35 - 39,38
Y15H1620503P01T01,Y15H1620503P01,Y15H1620503,1,1,9,540,9,574,34,34,0,14.51,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,14 - 14.9,30 - 34,34
Y15H1620503P01T02,Y15H1620503P01,Y15H1620503,1,2,18,1080,18,1114,34,34,0,14.51,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,14 - 14.9,30 - 34,34
Y15H1630218P02T01,Y15H1630218P02,Y15H1630218,1,1,8,510,8,535,25,25,0,18.36,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,18 - 18.9,25 - 29,25
Y15H1630218P02T02,Y15H1630218P02,Y15H1630218,1,2,18,1080,18,1110,30,30,0,18.36,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,18 - 18.9,30 - 34,30
Y15H1630229P01T01,Y15H1630229P01,Y15H1630229,1,1,9,560,10,600,40,40,0,9.18,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,40 - 44,40
Y15H1630229P01T02,Y15H1630229P01,Y15H1630229,1,2,18,1080,18,1095,15,15,0,9.18,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,15 - 19,15
Y15H1640133P03T01,Y15H1640133P03,Y15H1640133,1,1,9,585,10,600,15,15,0,6.08,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,6 - 6.9,15 - 19,15
Y15H1640133P03T02,Y15H1640133P03,Y15H1640133,1,2,18,1090,18,1105,15,15,0,6.08,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,6 - 6.9,15 - 19,15
Y15H1640205P01T01,Y15H1640205P01,Y15H1640205,1,1,8,480,9,540,60,60,0,23.48,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y15H1640205P01T02,Y15H1640205P01,Y15H1640205,1,2,17,1065,18,1110,45,45,0,23.48,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,45 - 49,45
Y15H1640222P02T01,Y15H1640222P02,Y15H1640222,1,1,8,495,9,540,45,45,0,19.92,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,19 - 19.9,45 - 49,45
Y15H1640222P02T02,Y15H1640222P02,Y15H1640222,1,2,17,1060,18,1110,50,50,0,19.92,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,19 - 19.9,50 - 54,50
Y15H1640410P04T01,Y15H1640410P04,Y15H1640410,1,1,8,500,9,540,40,40,0,21.95,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,40 - 44,40
Y15H1640410P04T02,Y15H1640410P04,Y15H1640410,1,2,18,1130,19,1170,40,40,0,21.95,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,40 - 44,40
Y15H1640426P03T01,Y15H1640426P03,Y15H1640426,1,1,8,530,8,532,2,2,0,0.34,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,0 - 0.9,0 - 4,2
Y15H1640426P03T02,Y15H1640426P03,Y15H1640426,1,2,18,1080,18,1082,2,2,0,0.34,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,0 - 0.9,0 - 4,2
Y15H1650126P03T01,Y15H1650126P03,Y15H1650126,1,1,8,500,8,520,20,20,0,11.49,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,20 - 24,20
Y15H1650126P03T02,Y15H1650126P03,Y15H1650126,1,2,18,1110,18,1125,15,15,0,11.49,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,15 - 19,15
Y15H1650318P03T01,Y15H1650318P03,Y15H1650318,1,1,8,490,8,525,35,35,0,8.26,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,35 - 39,35
Y15H1650318P03T02,Y15H1650318P03,Y15H1650318,1,2,18,1080,18,1130,50,50,0,8.26,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,50 - 54,50
Y15H1650416P01T01,Y15H1650416P01,Y15H1650416,1,1,9,540,9,563,23,23,0,9.38,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,20 - 24,23
Y15H1650416P01T02,Y15H1650416P01,Y15H1650416,1,2,17,1050,17,1075,25,25,0,9.38,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,25 - 29,25
Y15H1650516P02T01,Y15H1650516P02,Y15H1650516,1,1,8,525,9,570,45,45,0,11.52,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,45 - 49,45
Y15H1650516P02T02,Y15H1650516P02,Y15H1650516,1,2,17,1050,18,1080,30,30,0,11.52,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y15H1660509P02T01,Y15H1660509P02,Y15H1660509,1,1,8,525,9,540,15,15,0,5.64,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y15H1660509P02T02,Y15H1660509P02,Y15H1660509,1,2,17,1065,18,1080,15,15,0,5.64,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y15H1670202P01T01,Y15H1670202P01,Y15H1670202,1,1,8,480,8,510,30,30,0,11.93,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,11 - 11.9,30 - 34,30
Y15H1670202P01T02,Y15H1670202P01,Y15H1670202,1,2,18,1080,18,1120,40,40,0,11.93,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,11 - 11.9,40 - 44,40
Y15H1680325P02T01,Y15H1680325P02,Y15H1680325,1,1,9,540,9,580,40,40,0,9.24,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,40 - 44,40
Y15H1680325P02T02,Y15H1680325P02,Y15H1680325,1,2,19,1140,19,1170,30,30,0,9.24,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y15H1680437P02T01,Y15H1680437P02,Y15H1680437,1,1,8,500,9,545,45,45,0,23.53,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,45 - 49,45
Y15H1680437P02T02,Y15H1680437P02,Y15H1680437,1,2,17,1050,18,1080,30,30,0,23.53,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,30 - 34,30
Y15H1680532P03T01,Y15H1680532P03,Y15H1680532,1,1,8,510,8,530,20,20,0,6.95,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,6 - 6.9,20 - 24,20
Y15H1680532P03T02,Y15H1680532P03,Y15H1680532,1,2,18,1110,18,1130,20,20,0,6.95,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,6 - 6.9,20 - 24,20
Y15H1690301P04T01,Y15H1690301P04,Y15H1690301,1,1,9,570,9,580,10,10,0,4.45,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,4 - 4.9,10. - 14.,10
Y15H1690301P04T02,Y15H1690301P04,Y15H1690301,1,2,19,1140,19,1155,15,15,0,4.45,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y15H1690327P03T01,Y15H1690327P03,Y15H1690327,1,1,8,510,8,525,15,15,0,5.27,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,15 - 19,15
Y15H1690327P03T02,Y15H1690327P03,Y15H1690327,1,2,17,1065,18,1095,30,30,0,5.27,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,30 - 34,30
Y15H1690338P01T01,Y15H1690338P01,Y15H1690338,1,1,9,570,10,600,30,30,0,7.71,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,30 - 34,30
Y15H1690338P01T02,Y15H1690338P01,Y15H1690338,1,2,18,1110,19,1140,30,30,0,7.71,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,30 - 34,30
Y15H1690532P01T01,Y15H1690532P01,Y15H1690532,2,1,8,495,9,540,45,45,0,8.64,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,45 - 49,30
Y15H1690532P01T02,Y15H1690532P01,Y15H1690532,2,2,18,1100,18,1125,25,25,0,8.64,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,25 - 29,15
Y15H1700104P01T01,Y15H1700104P01,Y15H1700104,1,1,8,480,9,540,60,60,0,30.49,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,30 - 34.9,60 - 69,60
Y15H1700104P01T02,Y15H1700104P01,Y15H1700104,1,2,17,1050,18,1110,60,60,0,30.49,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,30 - 34.9,60 - 69,60
Y15H1700214P03T01,Y15H1700214P03,Y15H1700214,1,1,10,600,10,625,25,25,0,12.25,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,12 - 12.9,25 - 29,25
Y15H1700214P03T02,Y15H1700214P03,Y15H1700214,1,2,20,1230,20,1250,20,20,0,12.25,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,12 - 12.9,20 - 24,20
Y15H1700237P03T01,Y15H1700237P03,Y15H1700237,1,1,8,510,8,530,20,20,0,7.31,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,7 - 7.9,20 - 24,20
Y15H1700237P03T02,Y15H1700237P03,Y15H1700237,1,2,17,1050,17,1065,15,15,0,7.31,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,15 - 19,15
Y15H1700322P01T01,Y15H1700322P01,Y15H1700322,1,1,8,480,8,505,25,25,0,5.69,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,25 - 29,25
Y15H1700322P01T02,Y15H1700322P01,Y15H1700322,1,2,17,1050,18,1080,30,30,0,5.69,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,30 - 34,30
