TRIPID,PERSID,HHID,STOPS,TRIPNO,STARTHOUR,STARTIME,ARRHOUR,ARRTIME,TRAVTIME,TRIPTIME,WAITIME,CUMDIST,ORIGPLACE2,ORIGPURP2,DESTPLACE2,DESTPURP2,TRIPPURP,LINKMODE,DIST_GRP,Time_Grp,TIME1
Y13H0680506P02T01,Y13H0680506P02,Y13H0680506,1,1,9,540,9,570,30,30,0,3.46,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,30 - 34,30
Y13H0680506P02T02,Y13H0680506P02,Y13H0680506,1,2,20,1200,20,1230,30,30,0,3.46,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,30 - 34,30
Y13H0680511P01T01,Y13H0680511P01,Y13H0680511,1,1,8,525,9,540,15,15,0,2.64,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,2 - 2.9,15 - 19,15
Y13H0680511P01T02,Y13H0680511P01,Y13H0680511,1,2,17,1050,18,1080,30,30,0,2.64,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,2 - 2.9,30 - 34,30
Y13H0680524P02T01,Y13H0680524P02,Y13H0680524,1,1,8,500,9,541,41,41,0,8.5,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,8 - 8.9,40 - 44,41
Y13H0680524P02T02,Y13H0680524P02,Y13H0680524,1,2,17,1060,18,1100,40,40,0,8.5,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,8 - 8.9,40 - 44,40
Y13H0680538P01T01,Y13H0680538P01,Y13H0680538,1,1,8,525,9,550,25,25,0,5.16,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,5 - 5.9,25 - 29,25
Y13H0680538P01T02,Y13H0680538P01,Y13H0680538,1,2,17,1060,18,1095,35,35,0,5.16,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,5 - 5.9,35 - 39,35
Y13H0701023P02T01,Y13H0701023P02,Y13H0701023,1,1,8,510,8,515,5,5,0,2.06,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,2 - 2.9,5. - 9.,5
Y13H0701023P02T02,Y13H0701023P02,Y13H0701023,1,2,17,1050,17,1055,5,5,0,2.06,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,2 - 2.9,5. - 9.,5
Y13H0710115P01T01,Y13H0710115P01,Y13H0710115,1,1,8,480,8,505,25,25,0,9.7,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,25 - 29,25
Y13H0710115P01T02,Y13H0710115P01,Y13H0710115,1,2,17,1050,18,1080,30,30,0,9.7,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y13H0730125P03T01,Y13H0730125P03,Y13H0730125,1,1,8,485,8,525,40,40,0,15.78,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,15 - 15.9,40 - 44,40
Y13H0730125P03T02,Y13H0730125P03,Y13H0730125,1,2,19,1140,19,1185,45,45,0,15.78,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,15 - 15.9,45 - 49,45
Y13H0730237P02T01,Y13H0730237P02,Y13H0730237,1,1,10,600,10,610,10,10,0,3.04,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,3 - 3.9,10. - 14.,10
Y13H0730237P02T02,Y13H0730237P02,Y13H0730237,1,2,18,1080,18,1095,15,15,0,3.04,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,3 - 3.9,15 - 19,15
Y13H0730401P04T01,Y13H0730401P04,Y13H0730401,1,1,8,510,9,540,30,30,0,12.06,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,12 - 12.9,30 - 34,30
Y13H0730401P04T02,Y13H0730401P04,Y13H0730401,1,2,17,1050,18,1080,30,30,0,12.06,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,12 - 12.9,30 - 34,30
Y13H0730404P02T01,Y13H0730404P02,Y13H0730404,1,1,10,615,10,645,30,30,0,9.93,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,9 - 9.9,30 - 34,30
Y13H0730404P02T02,Y13H0730404P02,Y13H0730404,1,2,21,1260,21,1275,15,15,0,9.93,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,9 - 9.9,15 - 19,15
